Ticker,Date,signals,short avg,long avg,short vol,long vol,positions
OCUL,2019-04-05,1,4.29,4.158,0.0849,0.1397,0.0
OCUL,2019-04-08,1,4.38,4.242,0.0424,0.1397,0.0
OCUL,2019-04-09,1,4.335,4.28,0.1061,0.102,0.0
OCUL,2019-04-10,0,4.13,4.25,0.1838,0.157,-1.0
OCUL,2019-04-11,0,4.04,4.22,0.0566,0.1751,0.0
OCUL,2019-04-12,0,4.02,4.142,0.0849,0.189,0.0
OCUL,2019-04-15,0,3.875,4.018,0.1202,0.1718,0.0
OCUL,2019-04-16,0,3.77,3.916,0.0283,0.1408,0.0
OCUL,2019-04-17,0,3.75,3.866,0.0,0.1477,0.0
OCUL,2019-04-18,0,3.695,3.778,0.0778,0.1161,0.0
OCUL,2019-04-22,0,3.645,3.716,0.0071,0.0669,0.0
OCUL,2019-04-23,0,3.65,3.688,0.0,0.0567,0.0
OCUL,2019-04-24,1,3.76,3.712,0.1556,0.0991,1.0
OCUL,2019-04-25,1,3.92,3.756,0.0707,0.1539,0.0
OCUL,2019-04-26,1,3.98,3.826,0.0141,0.167,0.0
OCUL,2019-04-29,1,4.04,3.914,0.0707,0.167,0.0
OCUL,2019-04-30,1,4.015,3.972,0.1061,0.0801,0.0
OCUL,2019-05-01,0,3.89,3.966,0.0707,0.0902,-1.0
OCUL,2019-05-02,0,3.785,3.918,0.0778,0.1385,0.0
OCUL,2019-05-03,0,3.67,3.842,0.0849,0.1854,0.0
OCUL,2019-05-06,0,3.655,3.764,0.0636,0.1282,0.0
OCUL,2019-05-07,1,3.81,3.76,0.1556,0.1214,1.0
OCUL,2019-05-08,1,3.875,3.758,0.0636,0.1199,0.0
OCUL,2019-05-09,1,3.78,3.758,0.0707,0.1199,0.0
OCUL,2019-05-10,0,3.72,3.778,0.0141,0.0947,-1.0
OCUL,2019-05-13,0,3.665,3.762,0.0636,0.1156,0.0
OCUL,2019-05-14,0,3.565,3.68,0.0778,0.1208,0.0
OCUL,2019-05-15,0,3.535,3.626,0.0354,0.0945,0.0
OCUL,2019-05-16,0,3.555,3.59,0.0071,0.0778,0.0
OCUL,2019-05-17,0,3.525,3.548,0.0354,0.0476,0.0
OCUL,2019-05-20,0,3.48,3.516,0.0283,0.0404,0.0
OCUL,2019-05-21,0,3.155,3.384,0.4313,0.3012,0.0
OCUL,2019-05-22,0,2.7,3.182,0.2121,0.4537,0.0
OCUL,2019-05-23,0,2.57,2.99,0.0283,0.4621,0.0
OCUL,2019-05-24,0,2.53,2.784,0.0849,0.4038,0.0
OCUL,2019-05-28,0,2.555,2.62,0.1202,0.1428,0.0
OCUL,2019-05-29,1,2.555,2.544,0.1202,0.0747,1.0
OCUL,2019-05-30,0,2.53,2.552,0.0849,0.0776,-1.0
OCUL,2019-05-31,1,2.595,2.554,0.0071,0.0789,1.0
OCUL,2019-06-03,1,2.75,2.64,0.2121,0.1586,0.0
OCUL,2019-06-04,1,2.975,2.722,0.1061,0.2424,0.0
OCUL,2019-06-05,1,2.985,2.812,0.0919,0.2063,0.0
OCUL,2019-06-06,1,2.87,2.858,0.0707,0.1662,0.0
OCUL,2019-06-07,0,2.84,2.91,0.0283,0.0872,-1.0
OCUL,2019-06-10,1,3.13,3.01,0.3818,0.2347,1.0
OCUL,2019-06-11,1,3.42,3.088,0.0283,0.3055,0.0
OCUL,2019-06-12,1,3.66,3.28,0.3111,0.4438,0.0
OCUL,2019-06-13,1,3.85,3.48,0.0424,0.4087,0.0
OCUL,2019-06-14,1,4.16,3.808,0.4808,0.4433,0.0
OCUL,2019-06-17,1,4.44,4.004,0.0849,0.4344,0.0
OCUL,2019-06-18,1,4.335,4.174,0.0636,0.3057,0.0
OCUL,2019-06-19,1,4.385,4.294,0.1344,0.278,0.0
OCUL,2019-06-20,1,4.5,4.434,0.0283,0.0969,0.0
OCUL,2019-06-21,1,4.425,4.4,0.1344,0.0977,0.0
