Date,ticker,stock,holdings,cash,total,returns
2019-08-01,NGM,422.1,422.1,2619.0,3041.1,0.0
2019-08-02,NGM,419.4,419.4,2619.0,3038.4,-0.0009
2019-08-05,NGM,423.6,423.6,2619.0,3042.6,0.0014
2019-08-06,NGM,427.77,427.77,2619.0,3046.77,0.0014
2019-08-07,NGM,0.0,0.0,3052.5,3052.5,0.0019
2019-08-08,NGM,0.0,0.0,3052.5,3052.5,0.0
2019-08-09,NGM,0.0,0.0,3052.5,3052.5,0.0
2019-08-12,NGM,0.0,0.0,3052.5,3052.5,0.0
2019-08-13,NGM,0.0,0.0,3052.5,3052.5,0.0
2019-08-14,NGM,0.0,0.0,3052.5,3052.5,0.0
2019-08-15,NGM,0.0,0.0,3052.5,3052.5,0.0
2019-08-16,NGM,0.0,0.0,3052.5,3052.5,0.0
2019-08-19,NGM,0.0,0.0,3052.5,3052.5,0.0
2019-08-20,NGM,450.0,450.0,2602.5,3052.5,0.0
2019-08-21,NGM,452.7,452.7,2602.5,3055.2,0.0009
2019-08-22,NGM,0.0,0.0,3075.0,3075.0,0.0065
2019-08-23,NGM,0.0,0.0,3075.0,3075.0,0.0
2019-08-26,NGM,525.0,525.0,2550.0,3075.0,0.0
2019-08-27,NGM,0.0,0.0,3079.8,3079.8,0.0016
2019-08-28,NGM,0.0,0.0,3079.8,3079.8,0.0
2019-08-29,NGM,0.0,0.0,3079.8,3079.8,0.0
2019-08-30,NGM,0.0,0.0,3079.8,3079.8,0.0
2019-09-03,NGM,0.0,0.0,3079.8,3079.8,0.0
2019-09-04,NGM,532.2,532.2,2547.6,3079.8,0.0
2019-09-05,NGM,0.0,0.0,3097.5,3097.5,0.0057
2019-09-06,NGM,0.0,0.0,3097.5,3097.5,0.0
2019-09-09,NGM,0.0,0.0,3097.5,3097.5,0.0
2019-09-10,NGM,0.0,0.0,3097.5,3097.5,0.0
2019-09-11,NGM,0.0,0.0,3097.5,3097.5,0.0
2019-09-12,NGM,0.0,0.0,3097.5,3097.5,0.0
2019-09-13,NGM,0.0,0.0,3097.5,3097.5,0.0
2019-09-16,NGM,474.3,474.3,2623.2,3097.5,0.0
2019-09-17,NGM,474.3,474.3,2623.2,3097.5,0.0
2019-09-18,NGM,0.0,0.0,3106.5,3106.5,0.0029
2019-09-19,NGM,0.0,0.0,3106.5,3106.5,0.0
2019-09-20,NGM,0.0,0.0,3106.5,3106.5,0.0
2019-09-23,NGM,0.0,0.0,3106.5,3106.5,0.0
2019-09-24,NGM,498.3,498.3,2608.2,3106.5,0.0
2019-09-25,NGM,0.0,0.0,3083.85,3083.85,-0.0073
2019-09-26,NGM,0.0,0.0,3083.85,3083.85,0.0
2019-09-27,NGM,0.0,0.0,3083.85,3083.85,0.0
2019-09-30,NGM,0.0,0.0,3083.85,3083.85,0.0
2019-10-01,NGM,0.0,0.0,3083.85,3083.85,0.0
2019-10-02,NGM,0.0,0.0,3083.85,3083.85,0.0
2019-10-03,NGM,0.0,0.0,3083.85,3083.85,0.0
2019-10-04,NGM,0.0,0.0,3083.85,3083.85,0.0
2019-10-07,NGM,0.0,0.0,3083.85,3083.85,0.0
2019-10-08,NGM,0.0,0.0,3083.85,3083.85,0.0
2019-10-09,NGM,0.0,0.0,3083.85,3083.85,0.0
2019-10-10,NGM,0.0,0.0,3083.85,3083.85,0.0
2019-10-11,NGM,314.4,314.4,2769.45,3083.85,0.0
2019-10-14,NGM,0.0,0.0,3076.95,3076.95,-0.0022
2019-10-15,NGM,0.0,0.0,3076.95,3076.95,0.0
2019-10-16,NGM,0.0,0.0,3076.95,3076.95,0.0
2019-10-17,NGM,0.0,0.0,3076.95,3076.95,0.0
2019-10-18,NGM,0.0,0.0,3076.95,3076.95,0.0
2019-10-21,NGM,0.0,0.0,3076.95,3076.95,0.0
2019-10-22,NGM,0.0,0.0,3076.95,3076.95,0.0
2019-10-23,NGM,0.0,0.0,3076.95,3076.95,0.0
2019-10-24,NGM,0.0,0.0,3076.95,3076.95,0.0
2019-10-25,NGM,0.0,0.0,3076.95,3076.95,0.0
2019-10-28,NGM,0.0,0.0,3076.95,3076.95,0.0
2019-10-29,NGM,395.7,395.7,2681.25,3076.95,0.0
2019-10-30,NGM,0.0,0.0,3070.95,3070.95,-0.0019
2019-10-31,NGM,0.0,0.0,3070.95,3070.95,0.0
2019-11-01,NGM,0.0,0.0,3070.95,3070.95,0.0
2019-11-04,NGM,0.0,0.0,3070.95,3070.95,0.0
2019-11-05,NGM,0.0,0.0,3070.95,3070.95,0.0
2019-11-06,NGM,0.0,0.0,3070.95,3070.95,0.0
2019-11-07,NGM,0.0,0.0,3070.95,3070.95,0.0
2019-11-08,NGM,0.0,0.0,3070.95,3070.95,0.0
2019-11-11,NGM,0.0,0.0,3070.95,3070.95,0.0
2019-11-12,NGM,0.0,0.0,3070.95,3070.95,0.0
2019-11-13,NGM,0.0,0.0,3070.95,3070.95,0.0
2019-11-14,NGM,0.0,0.0,3070.95,3070.95,0.0
2019-11-15,NGM,0.0,0.0,3070.95,3070.95,0.0
2019-11-18,NGM,0.0,0.0,3070.95,3070.95,0.0
2019-11-19,NGM,0.0,0.0,3070.95,3070.95,0.0
2019-11-20,NGM,0.0,0.0,3070.95,3070.95,0.0
2019-11-21,NGM,0.0,0.0,3070.95,3070.95,0.0
2019-11-22,NGM,0.0,0.0,3070.95,3070.95,0.0
2019-11-25,NGM,0.0,0.0,3070.95,3070.95,0.0
2019-11-26,NGM,0.0,0.0,3070.95,3070.95,0.0
2019-11-27,NGM,0.0,0.0,3070.95,3070.95,0.0
2019-11-29,NGM,0.0,0.0,3070.95,3070.95,0.0
